SL.NO,DESCRIPTION,RESPONSIBLE_AGENCY,QTY,DURATION,WEIGHT_KG,TOTAL_WEIGHT_KG,UNIT_RATE_INR,TOTAL_BUDGET,DATE,PROJECT_NAME,APPROVED_BY,CURRENCY
1,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,1319,Monthly,7.24,9549.56,485.26,640057.94,2025-01-12,BHEL Ranipet L1,Kumar,INR
2,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,1541,One time,2.8,4314.8,503.69,776186.29,2024-11-04,BHEL Ranipet L1,Kumar,INR
3,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,7723,Quarterly,14.94,115381.62,1628.39,12576055.97,2024-01-04,BHEL Ranipet L1,Ravi,INR
4,Complete manufacturing of Shaft I for ESP,Cando Engineering,5594,One time,23.95,133976.3,706.36,3951377.84,2024-02-17,BHEL Trichy T2,Mani,INR
5,Complete manufacturing of Shaft I for ESP,Cando Engineering,20282,Quarterly,20.27,411116.14,1472.98,29874980.36,2024-10-01,BHEL Ranipet L1,Ravi,INR
6,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,21099,Monthly,22.19,468186.81,755.19,15933753.81,2024-04-08,BHEL Haridwar P3,Mani,INR
7,Complete manufacturing of Grip Coupling for ESP,Tetakisu,9982,One time,21.46,214213.72,1739.64,17365086.48,2024-07-13,BHEL Trichy T2,Ravi,INR
8,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,5829,Quarterly,9.2,53626.8,1356.84,7909020.36,2024-12-25,BHEL Haridwar P3,Mani,INR
9,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,18002,Monthly,6.5,117013.0,951.41,17127282.82,2024-05-18,BHEL Haridwar P3,Kumar,INR
10,Complete manufacturing of Shaft for ESP,Cando Engineering,2332,One time,20.63,48109.16,1619.84,3777466.88,2024-07-24,BHEL Trichy T2,Mani,INR
11,Complete manufacturing of Shaft for ESP,Cando Engineering,7467,Monthly,12.73,95054.91,1775.13,13254895.71,2024-11-25,BHEL Trichy T2,Magesh,INR
12,Complete manufacturing of Shaft I for ESP,Tetakisu,8581,Monthly,14.25,122279.25,562.35,4825525.35,2024-10-26,BHEL Trichy T2,Kumar,INR
13,Complete manufacturing of Bearings for ESP,Cando Engineering,7686,One time,12.98,99764.28,227.27,1746797.22,2024-01-25,BHEL Ranipet L1,Magesh,INR
14,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,22798,Quarterly,15.11,344477.78,800.3,18245239.4,2024-11-01,BHEL Trichy T2,Kumar,INR
